timestamp,workload,requests_per_second,cpu_utilization_ratio,memory_working_set_bytes,p95_latency_seconds,error_ratio,replicas,scaling_event,scenario,collection_interval_seconds,data_source,run_status
2026-07-25T10:03:00Z,demo-workload,82.000,0.760,286400000,0.120,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:03:30Z,demo-workload,82.052,0.767,287316145,0.127,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:04:00Z,demo-workload,82.099,0.772,288131435,0.132,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:04:30Z,demo-workload,82.135,0.777,288756118,0.137,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:05:00Z,demo-workload,82.156,0.779,289121426,0.139,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:05:30Z,demo-workload,82.159,0.780,289187142,0.140,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:06:00Z,demo-workload,82.145,0.778,288946032,0.138,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:06:30Z,demo-workload,82.116,0.774,288424640,0.134,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:07:00Z,demo-workload,82.073,0.769,287680363,0.129,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:07:30Z,demo-workload,82.023,0.763,286795136,0.123,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:08:00Z,demo-workload,81.970,0.756,285866409,0.124,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:08:30Z,demo-workload,81.920,0.750,284996424,0.130,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:09:00Z,demo-workload,81.879,0.745,284280953,0.135,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:09:30Z,demo-workload,81.851,0.741,283798759,0.139,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:10:00Z,demo-workload,81.840,0.740,283602926,0.140,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:10:30Z,demo-workload,81.847,0.741,283715012,0.139,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:11:00Z,demo-workload,81.870,0.744,284122677,0.136,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:11:30Z,demo-workload,81.907,0.748,284781044,0.132,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:12:00Z,demo-workload,81.955,0.754,285617636,0.126,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:12:30Z,demo-workload,82.008,0.761,286540355,0.121,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:13:00Z,demo-workload,82.060,0.767,287447623,0.127,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:13:30Z,demo-workload,82.105,0.773,288239562,0.133,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:14:00Z,demo-workload,82.139,0.777,288828991,0.137,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:14:30Z,demo-workload,82.157,0.780,289151021,0.140,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:15:00Z,demo-workload,82.158,0.780,289170203,0.140,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:15:30Z,demo-workload,82.142,0.778,288884423,0.138,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:16:00Z,demo-workload,82.110,0.774,288325143,0.134,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:16:30Z,demo-workload,82.066,0.768,287553931,0.128,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
2026-07-25T10:17:00Z,demo-workload,82.015,0.762,286655688,0.122,0.004,4,none,sustained,30,deterministic-scenario-profile-v1,passed
